name,url,category,notes
Admiralty Primary School,https://admiraltypri.moe.edu.sg/,primary,GOVERNMENT SCHOOL
Ahmad Ibrahim Primary School,https://www.ahmadibrahimpri.moe.edu.sg/,primary,GOVERNMENT SCHOOL
Ai Tong School,https://www.aitong.moe.edu.sg/,primary,SAP; GOVERNMENT-AIDED SCH
Alexandra Primary School,https://alexandrapri.moe.edu.sg/,primary,GOVERNMENT SCHOOL
Anchor Green Primary School,https://www.anchorgreenpri.moe.edu.sg/,primary,GOVERNMENT SCHOOL
Anderson Primary School,https://www.andersonpri.moe.edu.sg/,primary,GOVERNMENT SCHOOL
Ang Mo Kio Primary School,https://www.angmokiopri.moe.edu.sg/,primary,GOVERNMENT SCHOOL
Anglo-Chinese School (Junior),https://www.acsj.moe.edu.sg/,primary,GOVERNMENT-AIDED SCH
Anglo-Chinese School (Primary),https://www.acspri.moe.edu.sg/,primary,GEP; GOVERNMENT-AIDED SCH
Angsana Primary School,https://angsanapri.moe.edu.sg/,primary,GOVERNMENT SCHOOL
Beacon Primary School,https://beaconpri.moe.edu.sg/,primary,GOVERNMENT SCHOOL
Bedok Green Primary School,https://www.bedokgreenpri.moe.edu.sg/,primary,GOVERNMENT SCHOOL
Bendemeer Primary School,https://www.bendemeerpri.moe.edu.sg/,primary,GOVERNMENT SCHOOL
Blangah Rise Primary School,https://www.blangahrisepri.moe.edu.sg/,primary,GOVERNMENT SCHOOL
Boon Lay Garden Primary School,https://www.boonlaygardenpri.moe.edu.sg/,primary,GOVERNMENT SCHOOL
Bukit Panjang Primary School,https://www.bukitpanjangpri.moe.edu.sg/,primary,GOVERNMENT SCHOOL
Bukit Timah Primary School,https://www.bukittimahpri.moe.edu.sg/,primary,GOVERNMENT SCHOOL
Bukit View Primary School,https://www.bukitviewpri.moe.edu.sg/,primary,GOVERNMENT SCHOOL
CHIJ (Katong) Primary,https://chijkcp.moe.edu.sg/,primary,GOVERNMENT-AIDED SCH
CHIJ (Kellock),https://www.chijkellock.moe.edu.sg/,primary,GOVERNMENT-AIDED SCH
CHIJ Our Lady Queen of Peace,https://www.chijourladyqueenofpeace.moe.edu.sg/,primary,GOVERNMENT-AIDED SCH
CHIJ Our Lady of Good Counsel,https://www.chijourladyofgoodcounsel.moe.edu.sg/,primary,GOVERNMENT-AIDED SCH
CHIJ Our Lady of the Nativity,https://www.chijourladyofthenativity.moe.edu.sg/,primary,GOVERNMENT-AIDED SCH
CHIJ Primary (Toa Payoh),https://www.chijpritoapayoh.moe.edu.sg/,primary,GOVERNMENT-AIDED SCH
CHIJ St. Nicholas Girls' School,https://www.chijstnicholasgirls.moe.edu.sg/,primary,SAP; Autonomous; IP; GOVERNMENT-AIDED SCH; through-train P1-S4
Canberra Primary School,https://www.canberrapri.moe.edu.sg/,primary,GOVERNMENT SCHOOL
Canossa Catholic Primary School,https://canossacatholicpri.moe.edu.sg/,primary,GOVERNMENT-AIDED SCH
Cantonment Primary School,https://www.cantonmentpri.moe.edu.sg/,primary,GOVERNMENT SCHOOL
Casuarina Primary School,https://www.casuarinapri.moe.edu.sg/,primary,GOVERNMENT SCHOOL
Catholic High School,https://www.catholichigh.moe.edu.sg/,primary,SAP; Autonomous; GEP; IP; GOVERNMENT-AIDED SCH; through-train P1-S4
Cedar Primary School,https://www.cedarpri.moe.edu.sg/,primary,GOVERNMENT SCHOOL
Changkat Primary School,https://www.changkatpri.moe.edu.sg/,primary,GOVERNMENT SCHOOL
Chongfu School,https://www.chongfu.moe.edu.sg/,primary,GOVERNMENT-AIDED SCH
Chongzheng Primary School,https://www.chongzhengpri.moe.edu.sg/,primary,GOVERNMENT SCHOOL
Chua Chu Kang Primary School,https://www.chuachukangpri.moe.edu.sg/,primary,GOVERNMENT SCHOOL
Clementi Primary School,https://www.clementipri.moe.edu.sg/,primary,GOVERNMENT SCHOOL
Compassvale Primary School,https://www.compassvalepri.moe.edu.sg/,primary,GOVERNMENT SCHOOL
Concord Primary School,https://www.concordpri.moe.edu.sg/,primary,GOVERNMENT SCHOOL
Corporation Primary School,https://www.corporationpri.moe.edu.sg/,primary,GOVERNMENT SCHOOL
